"","GWAS_Catalog_2019.Term","GWAS_Catalog_2019.Overlap","GWAS_Catalog_2019.P.value","GWAS_Catalog_2019.Adjusted.P.value","GWAS_Catalog_2019.Old.P.value","GWAS_Catalog_2019.Old.Adjusted.P.value","GWAS_Catalog_2019.Odds.Ratio","GWAS_Catalog_2019.Combined.Score","GWAS_Catalog_2019.Genes"
"1","Feeling worry","4/43",6.25094236149621e-05,0.00784493266367774,0,0,21.2190170940171,205.404185721514,"RBFOX1;ARPP21;CAMTA1;TCF4"
"2","Urate levels in overweight individuals","4/43",6.25094236149621e-05,0.00784493266367774,0,0,21.2190170940171,205.404185721514,"DTNA;ASPH;NRXN2;R3HDM2"
"3","Neurociticism","5/97",0.000126525057311235,0.00948076617564092,0,0,11.3318077803204,101.703770184172,"RBFOX1;ARPP21;CELF4;CAMTA1;TCF4"
"4","Worry too long after an embarrassing experience","3/21",0.000151087907181529,0.00948076617564092,0,0,34.1615120274914,300.540982690973,"RBFOX1;ARPP21;CELF4"
"5","Electrodermal activity","2/5",0.000245087170998512,0.0123033759841253,0,0,135.353741496599,1125.31701267514,"SNAP91;ANKS1B"
"6","Social science traits (pleiotropy) (HIPO component 1)","2/9",0.000870867194754317,0.0340430804466971,0,0,57.997084548105,408.648679561366,"TCF4;EIF4G3"
"7","Post bronchodilator FEV1 in COPD","3/40",0.00104769503107265,0.0340430804466971,0,0,16.6032320980775,113.917477373754,"ABLIM2;NRXN2;OXR1"
"8","Amyotrophic lateral sclerosis (age of onset)","2/10",0.00108503842061186,0.0340430804466971,0,0,50.7448979591837,346.391771762865,"ARHGEF2;ANKS1B"
"9","Diastolic blood pressure","10/646",0.00146564564545314,0.0408752285565265,0,0,3.3654786862334,21.9612945958201,"DLG1;MCF2L;SLMAP;CAMTA1;UBAP2L;NRCAM;TCF4;MAP4;PTK2;GTF2I"
"10","Cognitive decline rate in late mild cognitive impairment","4/126",0.00369568123021547,0.0927615988784084,0,0,6.75478142076503,37.8307638181894,"RBFOX1;MYT1L;ATP2B2;EIF4G3"
"11","Heart rate response to exercise","2/21",0.00488538725831669,0.101156731078399,0,0,21.3544575725027,113.63788950908,"TCF4;NDRG2"
"12","Response to cyclophosphamide in systemic lupus erythematosus with lupus nephritis","2/22",0.00535649695773258,0.101156731078399,0,0,20.2857142857143,106.083028567318,"EPHA5;TRIM9"
"13","Educational attainment","3/71",0.00542005642805361,0.101156731078399,0,0,9.02001212856277,47.0632577361771,"ATXN2L;KIFC2;CELF4"
"14","Neuroticism","4/142",0.0056422081079585,0.101156731078399,0,0,5.96678743961353,30.8929213296343,"RBFOX1;MADD;CELF4;AATK"
"15","Coffee consumption","2/28",0.00859620747114401,0.143843205017143,0,0,15.5996860282575,74.1988795836398,"NRCAM;NCALD"
"16","Feeling fed-up","2/29",0.00920309747511436,0.144373591640857,0,0,15.021164021164,70.4224490277819,"CELF4;TCF4"
"17","Attention deficit hyperactivity disorder","3/90",0.0104072034150418,0.153659297480911,0,0,7.04337006754355,32.1547950435062,"ARNT2;MYT1L;DNM1"
"18","Urate levels (BMI interaction)","2/33",0.0118145960439168,0.156077031948585,0,0,13.0803159973667,58.0559303610333,"EPHA5;TRIM9"
"19","Irritable mood","2/33",0.0118145960439168,0.156077031948585,0,0,13.0803159973667,58.0559303610333,"ARPP21;TCF4"
"20","HIV-1 viral setpoint","2/37",0.0147110875878219,0.169031177545395,0,0,11.5830903790087,48.8708399253876,"EPHA5;ZBTB20"
"21","Experiencing mood swings","2/38",0.0154783132235365,0.169031177545395,0,0,11.2607709750567,46.9384448645158,"CELF4;TCF4"
"22","Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes","2/38",0.0154783132235365,0.169031177545395,0,0,11.2607709750567,46.9384448645158,"TRIM9;DTNA"
"23","Nickel levels","2/40",0.0170631829128301,0.169031177545395,0,0,10.6670247046187,43.4236674606069,"RBFOX1;PTK2"
"24","Allergic rhinitis","3/114",0.0195542061325189,0.169031177545395,0,0,5.51379214265812,21.6943728553258,"RBFOX1;DLG1;CELF2"
"25","Post bronchodilator FEV1/FVC ratio","4/206",0.0199074005765443,0.169031177545395,0,0,4.06311881188119,15.9138700735226,"ARNT2;CELF4;TCF4;KALRN"
"26","Urate levels in obese individuals","2/47",0.0231205576171507,0.169031177545395,0,0,9.00453514739229,33.920382104137,"NRXN2;ZBTB20"
"27","Paclitaxel disposition in epithelial ovarian cancer","2/47",0.0231205576171507,0.169031177545395,0,0,9.00453514739229,33.920382104137,"CAMK2G;OXR1"
"28","Autism spectrum disorder, ADHD, bipolar disorder, MDD, and schizophrenia (combined)","2/47",0.0231205576171507,0.169031177545395,0,0,9.00453514739229,33.920382104137,"TCF4;ANKS1B"
"29","Intracranial aneurysm","2/47",0.0231205576171507,0.169031177545395,0,0,9.00453514739229,33.920382104137,"CAMK2B;RBFOX1"
"30","Diabetic retinopathy","2/47",0.0231205576171507,0.169031177545395,0,0,9.00453514739229,33.920382104137,"MYT1L;TCF4"
