"","Mouse_Gene_Atlas.Term","Mouse_Gene_Atlas.Overlap","Mouse_Gene_Atlas.P.value","Mouse_Gene_Atlas.Adjusted.P.value","Mouse_Gene_Atlas.Old.P.value","Mouse_Gene_Atlas.Old.Adjusted.P.value","Mouse_Gene_Atlas.Odds.Ratio","Mouse_Gene_Atlas.Combined.Score","Mouse_Gene_Atlas.Genes"
"1","cerebral cortex","44/349",8.00520620977214e-19,6.80442527830632e-17,0,0,6.07262007477711,253.040155650637,"CYFIP2;PTPRS;NRSN1;SCHIP1;CLSTN1;STMN4;CX3CL1;STRN4;NCALD;SEPT8;TRIM9;PAK1;SEPT7;KIF5C;ADORA1;CAMTA2;PIP5K1C;APBB1;ZFP365;RAB6B;GALNT9;EGR1;ATP6V1G2;ARPP21;SYT1;SYP;DNM1;GRIN1;NELL2;TOM1L2;OLFM1;ARC;PRKAR1B;MPPED1;VSNL1;KIFC2;GLRB;PPP2R2C;CSPG5;TRIM37;CALM1;STX1A;VAMP2;RAPGEF4"
"2","cerebral cortex prefrontal","42/344",1.68827239648075e-17,7.17515768504317e-16,0,0,5.82952080742647,225.137497479615,"CYFIP2;TMEM151B;CCNI;CLSTN1;CAMK2A;CYP46A1;PHYHIP;CX3CL1;NCALD;RPH3A;SEPT8;PAK1;TSPAN5;SPOCK1;PIP5K1C;APBB1;WASF1;ZFP365;SLC25A22;GALNT9;PRRT1;SYT5;GABBR1;ARPP21;SYT1;CCK;SYP;HPCAL4;SYN2;RUNDC3A;OXR1;DNM1;NELL2;OLFM1;PRKAR1B;MPPED1;VSNL1;KIFC2;PPP2R2C;TRIM37;STX1A;RAPGEF4"
"3","spinal cord","37/353",1.88271703892829e-13,5.33436494363014e-12,0,0,4.85146403477595,142.152215195753,"CNP;PLEKHB1;HDAC11;TECR;RAP1GDS1;CEND1;AATK;RTN4;RPH3A;SEPT8;GJA1;KLC2;SEPT7;HABP4;SCD2;ADORA1;NEFL;MBP;PRKACA;YWHAG;CADM4;FBXO2;OLIG1;GPR37L1;MAPK8IP3;DYNLL2;RUNDC3A;EML2;MAPK8IP1;GFAP;STX1B;BCAN;PSMC5;PNKD;GLRB;FEZ1;FGFR3"
"4","nucleus accumbens","36/383",1.00299319933405e-11,2.13136054858485e-10,0,0,4.28244559276558,108.454850150303,"CAMK2B;THRA;PDXP;ABAT;PNMAL2;SLC6A1;CYP46A1;PHYHIP;CX3CL1;RAP1GAP;JPH4;NCDN;DLGAP3;RAB6B;CALN1;CDK17;PSD;SYT5;ARPP21;WFS1;PDE2A;MINK1;FBXL16;HPCAL4;GRIN1;CALY;KIFC2;NSG2;PPP2R2C;SST;CSPG5;CTXN1;PTPN5;NGEF;C2CD2L;SSBP4"
"5","olfactory bulb","33/414",5.13591640385458e-09,8.73105788655278e-08,0,0,3.54598796135494,67.6822989806595,"HDAC5;NRSN1;RAP1GDS1;SLC1A3;CRMP1;CX3CL1;RTN4;LDHB;TRIM9;PPP1CC;PPP2R1A;SV2A;PALM;NRIP3;PIP5K1C;CKB;NCDN;IP6K1;SLC25A23;PTGDS;ARPP21;SYT1;GAD1;ATP1B1;SNAP91;GRIN1;BCAN;STX1B;GPRC5B;CACNB3;CSDC2;CSPG5;VAMP2"
"6","hypothalamus","27/296",7.84662654062449e-09,1.11160542658847e-07,0,0,4.08086484277372,76.1619238394701,"HDAC11;RASGRF1;MLC1;SLC1A3;ABAT;PNMAL2;NDN;WDR6;PTGDS;NTSR2;NDFIP1;SLC12A5;MAGEE1;GAA;USP22;SYNGR3;TMEM130;ZWINT;NAP1L5;BCAN;PREPL;IMPACT;CALY;PITPNM1;FXYD6;HAP1;LY6H"
"7","dorsal root ganglia","35/541",3.19667662021276e-07,3.88167875311549e-06,0,0,2.82540694462153,42.2567408792742,"PYGB;DCTN1;STMN2;STMN3;CEND1;KLC1;RTN4;MAP1LC3B;ACTR1A;UCHL1;TUBA1A;MAP1LC3A;TUBB3;KIF5C;NEFL;FLOT2;RAB6B;SULT4A1;YWHAG;YWHAH;MAPK3;ACOT7;ANKRD46;HMGCS1;FBXO2;PPP2R5B;KCNAB2;SYNGR3;DGKZ;TOM1L2;CACNB3;REEP5;FEZ1;RGS7BP;MAPRE2"
"8","hippocampus","15/176",3.77933041360556e-05,0.000401553856445591,0,0,3.71499007491836,37.8311504663541,"NSF;GABBR1;HPCA;RASGRF1;CAMK2A;STMN4;KCNAB2;NELL2;OLFM1;PPP3R1;PTK2B;CAMTA2;CALM3;SLC17A7;NCDN"
"9","heart","29/568",0.000243635982275328,0.00230100649926698,0,0,2.1659556700503,18.020394490755,"PYGB;NDUFB8;NDUFB10;ATP5A1;ATP5K;ATP5C1;ATP5J;CRIP2;ATP5H;ATP5O;TRAK1;LDHB;NDUFV1;TRP53INP2;IDH3A;NDUFA8;PDHA1;GOT2;CHCHD10;COX6C;SDHA;ATP5F1;ATP5J2;CS;TMEM59;PNKD;UQCRQ;OGDH;ACO2"
"10","cerebellum","22/428",0.0012213817378294,0.0103817447715499,0,0,2.16454026423728,14.5192436360465,"PRRT1;SLC12A5;TMEM151B;NDRG3;CLSTN3;SCHIP1;DIRAS2;SLC1A3;GPR37L1;DGKZ;MAPK8IP1;CLIP3;STX1B;PAK1;PITPNM1;KIF5C;DNER;TAGLN3;MAPRE2;GPM6B;SH3GL2;CALN1"
