"","GO_Molecular_Function_2018.Term","GO_Molecular_Function_2018.Overlap","GO_Molecular_Function_2018.P.value","GO_Molecular_Function_2018.Adjusted.P.value","GO_Molecular_Function_2018.Old.P.value","GO_Molecular_Function_2018.Old.Adjusted.P.value","GO_Molecular_Function_2018.Odds.Ratio","GO_Molecular_Function_2018.Combined.Score","GO_Molecular_Function_2018.Genes"
"1","tubulin binding (GO:0015631)","9/255",5.35728753997655e-06,0.000669831999394996,0,0,7.90163495041544,95.902560338334,"KIFC2;MAP2;DCTN1;MAP4;KIF1A;ARHGEF2;DNM1;NCALD;CLASP2"
"2","microtubule binding (GO:0008017)","8/195",6.11718720908672e-06,0.000669831999394996,0,0,9.1667054173448,110.04087343558,"KIFC2;MAP2;DCTN1;MAP4;KIF1A;ARHGEF2;DNM1;CLASP2"
"3","protein kinase binding (GO:0019901)","10/495",0.000186160563442817,0.0118721312096652,0,0,4.44788087056128,38.2024085118245,"EPHA5;HDAC5;DLG1;DCTN1;ANK2;CALM1;SRCIN1;SNAP91;PTK2;DNM1"
"4","Rho guanyl-nucleotide exchange factor activity (GO:0005089)","4/59",0.000216842579171967,0.0118721312096652,0,0,15.0340909090909,126.832686102133,"MCF2L;ARHGEF4;ARHGEF2;KALRN"
"5","ligand-gated channel activity (GO:0022834)","3/31",0.000492443679830411,0.021569033176572,0,0,21.9499263622975,167.173502753114,"DLG1;CALM1;NCALD"
"6","kinase binding (GO:0019900)","8/418",0.00118648041569897,0.0433065351730123,0,0,4.13361611876988,27.8471962098372,"DLG1;DCTN1;ANK2;CALM1;SRCIN1;SNAP91;PTK2;DNM1"
"7","RNA binding (GO:0003723)","16/1387",0.00138542639448482,0.0433440543417393,0,0,2.57427668368587,16.9432386655124,"RBFOX1;SNRPN;CELF2;AKAP8L;CELF4;DNM1;ADD1;ATXN2L;DHX30;HNRNPK;PCBP2;HNRNPA2B1;UBAP2L;MAP4;EIF4G3;R3HDM2"
"8","Rac guanyl-nucleotide exchange factor activity (GO:0030676)","2/14",0.00216576516004231,0.0592878212561583,0,0,33.8231292517007,207.504274169846,"ARHGEF4;ARHGEF2"
"9","spectrin binding (GO:0030507)","2/19",0.00400404563880334,0.0974317772108812,0,0,23.8691476590636,131.768436654952,"ANK2;ADD1"
"10","ligand-gated ion channel activity (GO:0015276)","3/68",0.00480405471030925,0.105208798155772,0,0,9.43774781919112,50.3814818655157,"DLG1;CALM1;NCALD"
"11","calcium channel regulator activity (GO:0005246)","2/26",0.0074389947886241,0.146147943818259,0,0,16.9013605442177,82.8338984204336,"NRXN2;CALM1"
"12","calmodulin-dependent protein kinase activity (GO:0004683)","2/27",0.00800810651058956,0.146147943818259,0,0,16.2244897959184,78.3204947866311,"CAMK2B;CAMK2G"
"13","actin binding (GO:0003779)","5/254",0.00899567962830905,0.151542602969206,0,0,4.15366730078208,19.5679717553414,"ABLIM2;SORBS1;PTK2;NCALD;ADD1"
"14","pre-mRNA binding (GO:0036002)","2/30",0.00982857782071015,0.153747038766823,0,0,14.4839650145773,66.9515638793864,"CELF2;CELF4"
"15","ion channel activity (GO:0005216)","3/93",0.0113729262286274,0.16604472293796,0,0,6.80756013745704,30.4741766581,"DLG1;CALM1;NCALD"
"16","phosphatidylinositol binding (GO:0035091)","3/100",0.0138217578324638,0.189185310331848,0,0,6.31406100542034,27.0337233788467,"PITPNM1;MCF2L;RUNDC3A"
"17","ribosome binding (GO:0043022)","2/38",0.0154783132235365,0.199397093879676,0,0,11.2607709750567,46.9384448645158,"BAG6;GTPBP6"
"18","cadherin binding (GO:0045296)","5/313",0.0204962741910699,0.203372796505296,0,0,3.34791524265208,13.0150612035123,"ATXN2L;SH3GLB2;DLG1;HNRNPK;ADD1"
"19","amyloid-beta binding (GO:0001540)","2/49",0.0249911884332231,0.203372796505296,0,0,8.62049500651324,31.8030058521021,"GRIA2;APBA2"
"20","phosphatidylinositol phosphate phosphatase activity (GO:0052866)","1/6",0.0296309633944118,0.203372796505296,0,0,40.1919191919192,141.432767389918,"SYNJ1"
"21","JUN kinase binding (GO:0008432)","1/6",0.0296309633944118,0.203372796505296,0,0,40.1919191919192,141.432767389918,"PTK2"
"22","inositol trisphosphate kinase activity (GO:0051766)","1/6",0.0296309633944118,0.203372796505296,0,0,40.1919191919192,141.432767389918,"CALM1"
"23","protein kinase activator activity (GO:0030295)","2/55",0.030955668405524,0.203372796505296,0,0,7.64227955333077,26.5584434034501,"MADD;CALM1"
"24","DEAD/H-box RNA helicase binding (GO:0017151)","1/7",0.0344842492004147,0.203372796505296,0,0,33.4915824915825,112.774618360503,"AKAP8L"
"25","N6-methyladenosine-containing RNA binding (GO:1990247)","1/7",0.0344842492004147,0.203372796505296,0,0,33.4915824915825,112.774618360503,"HNRNPA2B1"
"26","calcium-dependent protein serine/threonine phosphatase activity (GO:0004723)","1/7",0.0344842492004147,0.203372796505296,0,0,33.4915824915825,112.774618360503,"CAMK2G"
"27","fatty acid transporter activity (GO:0015245)","1/7",0.0344842492004147,0.203372796505296,0,0,33.4915824915825,112.774618360503,"SLC27A1"
"28","phosphatidylinositol phosphate 4-phosphatase activity (GO:0034596)","1/7",0.0344842492004147,0.203372796505296,0,0,33.4915824915825,112.774618360503,"SYNJ1"
