"","Human_Gene_Atlas.Term","Human_Gene_Atlas.Overlap","Human_Gene_Atlas.P.value","Human_Gene_Atlas.Adjusted.P.value","Human_Gene_Atlas.Old.P.value","Human_Gene_Atlas.Old.Adjusted.P.value","Human_Gene_Atlas.Odds.Ratio","Human_Gene_Atlas.Combined.Score","Human_Gene_Atlas.Genes"
"1","Fetalbrain","46/325",1.02318216951772e-21,6.75300231881696e-20,0,0,6.98029463312965,337.367198490042,"WDR47;DLX2;RTN1;SMARCD3;FAM57B;NCAN;STMN2;SEZ6;AKAP7;PSIP1;CRMP1;FNBP1L;NUDT11;TRO;CDC42;NEUROD2;CAMKV;TUBB3;DPYSL3;STMN1;DYNC1I1;AASDHPPT;PAIP1;RUNX1T1;MEF2C;LMO3;L1CAM;PJA1;MLLT11;DNAJA1;NELL2;TMEFF1;ZEB2;TUBB2B;GAP43;TUBB2A;MPPED1;DOK4;DOK5;PKIA;DCX;FXYD6;TCF4;INA;DBN1;CDK5R1"
"2","Amygdala","35/345",2.23105405625665e-12,7.36247838564694e-11,0,0,4.65938258758238,125.004464607574,"GPM6A;IGSF8;WDR47;RTN1;THRA;NCAN;SRI;KLC1;ACTR3B;GNAI1;RTN4;PCMT1;PGRMC1;SNN;YWHAQ;PALM;CLPTM1;G3BP2;NPTN;WASF1;GPM6B;DLGAP4;YWHAH;LMO3;NAP1L3;L1CAM;TMEFF1;UFM1;TUBB2A;PKIA;FSCN1;CPE;MAPRE3;TSPYL4;CDK5R1"
"3","PrefrontalCortex","42/521",2.68974434707809e-11,5.91743756357179e-10,0,0,3.64151115406004,88.6307030977997,"ARF3;YWHAE;IGSF8;WDR47;RAB3A;GDI1;WBP2;DCTN1;CELF2;SLC1A3;DTX3;LDB2;NDRG2;ELAVL3;SNN;ACTR1A;DEAF1;CHST10;PALM;NPTN;NCDN;WASF1;GLUL;GPM6B;DLGAP4;PAIP1;KLHDC3;TSC22D1;MAP1S;LMO3;NAP1L3;BLCAP;SEPT2;CLIP3;OLFM2;GAP43;PRKAR1B;MAP7D1;FKBP8;CALM3;MAPRE3;TCF4"
"4","721 B lymphoblasts","60/1543",0.000422607902355256,0.00697303038886173,0,0,1.65668485257157,12.8708935525945,"HSP90AB1;GDI2;PSIP1;HNRNPR;ENO1;ACTB;FADS2;ACTR1A;CCND2;ARHGDIA;UBAP2L;CCT3;CCT2;TPM4;STARD7;PRMT1;NCBP2;SAFB;NIPSNAP1;PRPF6;EWSR1;FSCN1;NDUFS2;MAPRE1;PTMA;KHDRBS1;IDI1;SF3B2;SET;SF3B3;USP10;INSIG1;PRCC;SRI;STIP1;SNX4;LDHA;RAD21;G3BP1;POLD2;CCT8;BUB3;CCT7;XRCC6;NPM1;FUS;XRCC5;NONO;GOT2;HMGA1;SSRP1;BTBD10;REC8;SQLE;PFKL;APEX1;MARS;FARSA;RBMX;CBLN2"
"5","Lymphoma burkitts(Raji)","17/355",0.00835728424125023,0.110316151984503,0,0,1.99538143016404,9.547145402653,"TRAP1;MARCKSL1;PRMT1;HMGA1;EEF2;NIPSNAP1;NAP1L4;PFKL;DEAF1;CASP3;DDIT4;POLD2;RPS2;TKT;CCT7;DLGAP4;SLC25A6"
"6","CardiacMyocytes","13/273",0.0203942591636043,0.197737567594387,0,0,1.97535934291581,7.68908985974573,"CNTFR;CLIC4;RPL10;TPM4;SEMA3C;PLK2;ENO1;RPL7;NFIB;DPYSL3;BRWD1;MPZL1;RAB7A"
"7","SmoothMuscle","16/363",0.0209721662600107,0.197737567594387,0,0,1.8246600138138,7.05150652755386,"ARF4;CLIC4;NPM1;TPM4;PLK2;PDIA6;RND3;SEPT2;HSP90B1;FKBP1A;LDHA;ARL2BP;NFIB;CD200;DBN1;MPZL1"
"8","Spinalcord","6/105",0.0481769375269439,0.397459734597287,0,0,2.3801987486198,7.21884491549224,"DYNC1I2;MARCKSL1;XRCC5;FEZ1;PEA15;GPM6B"
"9","Wholebrain","10/240",0.0800692425204353,0.582600497239777,0,0,1.70984915705413,4.31713570519592,"ARF3;C1ORF216;SNN;PRKAR1B;CHST10;MAPRE3;TBR1;NDRG2;ACTR3B;STX1A"
"10","BronchialEpithelialCells","11/280",0.0943217422059127,0.582600497239777,0,0,1.60817539778472,3.79697215294047,"FKBP1A;SQLE;IDI1;KLF7;HMGCS1;SEMA3C;SARS;BZW1;RND3;FDFT1;HSP90B1"
"11","pineal day","23/694",0.104472711450987,0.582600497239777,0,0,1.35305107993014,3.05631152673589,"SYT4;ARL6IP1;PODXL2;CELF3;ATP1A3;ATP1B2;ENO2;ACLY;OLFM2;NECAP1;OS9;DNAJB5;MAP2;PPP2R2B;REEP2;UBA3;TERF2IP;CKB;TSPAN3;MAP4;ATP6V0E2;ATP6V0A1;GRINA"
"12","Thyroid","14/388",0.10974091594278,0.582600497239777,0,0,1.47314099601681,3.25510095978562,"MTCH1;PPP1R14C;GPX3;CITED2;GPAA1;FHL1;ATP6AP2;PEBP1;ATP1A1;PDIA6;HSP90B1;RAB11B;SNX4;PAIP1"
"13","BDCA4+ DendriticCells","17/495",0.117331233092779,0.582600497239777,0,0,1.40065143758067,3.00125187945767,"ACTR2;H3F3B;USP10;GDI2;SEPT2;ADD1;HSP90B1;CORO1C;HERPUD1;RHOT2;SLC39A6;G3BP2;ANAPC5;TCF4;CNOT8;PAIP1;ITM2C"
"14","CerebellumPeduncles","6/137",0.129366599178358,0.582600497239777,0,0,1.79580925302098,3.67261857391013,"YWHAE;NEUROD2;SNAP25;CCNI;NDRG2;ELAVL3"
"15","CD34+","21/645",0.132409203918131,0.582600497239777,0,0,1.32620041753653,2.68138908545995,"NOP56;KHDRBS1;ZNF692;RPL3;SET;SF3B3;H2AFY;CELF2;DDX1;AKAP8L;HNRNPR;ATXN7L3B;ZNF22;EWSR1;DPF2;ANAPC5;RNPS1;HNRNPA1;PTMA;CTNNBL1;SOX4"
