"","GO_Biological_Process_2018.Term","GO_Biological_Process_2018.Overlap","GO_Biological_Process_2018.P.value","GO_Biological_Process_2018.Adjusted.P.value","GO_Biological_Process_2018.Old.P.value","GO_Biological_Process_2018.Old.Adjusted.P.value","GO_Biological_Process_2018.Odds.Ratio","GO_Biological_Process_2018.Combined.Score","GO_Biological_Process_2018.Genes"
"1","mRNA processing (GO:0006397)","105/283",1.74384694805144e-16,7.74093660240033e-13,0,0,2.96693639830945,107.656082130321,"GEMIN2;HNRNPU;CASC3;RAVER1;PAPOLA;CMTR1;SRRM2;SNRPN;THOC1;THOC3;PRPF4B;THOC2;ZCRB1;SRRM1;PRPF4;DDX39B;ZC3H11A;PRPF3;SRSF2;SRSF3;PPIE;SRSF5;SRSF7;SNRPA;SF1;SRSF9;DDX5;CSTF2;ESS2;DHX32;DHX35;PCBP2;CSTF1;CPSF4;HSPA8;CPSF7;CHTOP;CPSF6;CPSF1;FUS;CPSF3;NONO;UPF3B;CWC15;CHERP;HNRNPL;HNRNPM;HNRNPK;SON;HNRNPF;HNRNPD;RNPS1;HNRNPC;CELF1;AKAP8L;DDX41;YBX1;PRPF19;USP39;UBL5;PTBP1;SART1;PCF11;RSRC1;SNRNP70;DHX15;BCAS2;RBM5;RBM17;BUD31;PRPF40B;SFPQ;HNRNPH1;SYF2;HNRNPH2;SNRPA1;PABPC1;DNAJC8;CACTIN;RBM22;SF3B4;SF3B2;SRRT;SRSF1;U2AF1;TBRG4;POLR2A;FIP1L1;PUF60;U2AF2;POLR2C;POLR2E;HNRNPA1;SF3B1;SRSF10;SRSF11;SF3A1;SF3A2;GTF2H3;GTF2H5;HNRNPA2B1;ERCC2;PRPF31;SNRNP48;RBMX"
"2","mRNA splicing, via spliceosome (GO:0000398)","97/261",2.17440136692935e-15,3.97685834469132e-12,0,0,2.97012790368904,100.277526602784,"GEMIN2;HNRNPU;CASC3;RAVER1;PAPOLA;SRRM2;SNRPN;PRPF4B;ZCRB1;WDR77;SRRM1;PRPF4;DDX39B;CLNS1A;PRPF3;SRSF2;SRSF3;PPIE;SRSF5;SRSF7;SNRPA;SF1;SRSF9;DDX5;DDX1;CSTF2;ESS2;DHX32;DHX35;PCBP2;CSTF1;SRPK2;CPSF4;HSPA8;CPSF7;CPSF1;FUS;CPSF3;NONO;UPF3B;CWC15;CHERP;HNRNPL;HNRNPM;HNRNPK;HNRNPF;HNRNPD;RNPS1;HNRNPC;CDK13;DDX41;YBX1;PRPF19;USP39;UBL5;PTBP1;SART1;PCF11;RSRC1;SNRNP70;DHX15;BCAS2;RBM5;PRMT5;RBM17;BUD31;PRPF40B;SFPQ;HNRNPH1;SYF2;HNRNPH2;SNRPA1;PABPC1;DNAJC8;CACTIN;RBM22;SF3B4;SF3B2;SRRT;SRSF1;U2AF1;POLR2A;FIP1L1;PUF60;U2AF2;POLR2C;POLR2E;HNRNPA1;SF3B1;SRSF10;SRSF11;SF3A1;SF3A2;HNRNPA2B1;PRPF31;SNRNP48;RBMX"
"3","gene expression (GO:0010467)","134/411",2.68767178059787e-15,3.97685834469132e-12,0,0,2.4401168690414,81.8661676158884,"RPL5;RPL30;RPL3;RPL32;RPL34;HNRNPU;CASC3;RPL10A;RPL6;RPL7;RPL18A;RPS18;RPL36;RPL38;NUP214;MEF2A;RPS9;RPS8;RPL23;THOC1;SARS;THOC3;THOC2;SRRM1;PRPF4;DDX39B;DKC1;ZC3H11A;EEF1A2;SRSF2;SRSF3;RPL26;SRSF5;SRSF7;SRSF9;POM121;MRPL18;TARS;DTX1;AAAS;GSPT2;MRPL10;DEDD2;DHX30;DHX32;DHX33;DHX34;DHX35;NUP88;CPSF4;CHTOP;CPSF1;CPSF3;UPF3B;MRPL28;SMARCA1;MRPL24;HNRNPL;RPS25;PPP5C;HNRNPK;FUBP3;HNRNPF;RPL27A;HNRNPD;MMS19;RNPS1;RSL24D1;RPS21;RPS24;NFKBIB;MRPS17;HBS1L;CALCOCO1;MRPS15;MRPS16;LDB1;CELF2;RPLP0;ASH2L;MRPL37;BICD1;MRPL32;SMG5;MRPL4;RPS4X;RBM3;MRPL42;RPL7A;MRPL3;DHX15;RPLP2;RBM5;RBM6;UPF1;WARS;MRPS24;NUP133;MRPS5;MRPL52;HNRNPH1;NUP54;PTMA;RPL10;ATF6B;DDX25;RPL12;RPL11;SRSF1;U2AF1;NOL9;TSPAN33;MRPL55;NXF1;POLR2A;FIP1L1;U2AF2;POLR2C;RPL14;POLR2E;RPL13;DROSHA;HARS;RPS2;RPL18;SRSF10;RAE1;SRSF11;RPL19;ABCF1;RBM39;TSPAN14;HNRNPA2B1;RPS6KB2"
"4","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)","90/236",3.65517017310535e-15,4.05632509960366e-12,0,0,3.09232501407394,102.797027859662,"HNRNPU;CASC3;DDX41;YBX1;PRPF19;USP39;UBL5;PTBP1;SART1;RAVER1;PCF11;RSRC1;SNRNP70;DHX15;PAPOLA;BCAS2;RBM5;SRRM2;RBM17;SNRPN;BUD31;PRPF40B;PRPF4B;ZCRB1;SRRM1;PRPF4;SFPQ;DDX39B;HNRNPH1;SYF2;PRPF3;SRSF2;SRSF3;PPIE;HNRNPH2;SNRPA1;PABPC1;SRSF5;DNAJC8;CACTIN;SRSF7;SNRPA;SF1;SRSF9;RBM22;SF3B4;SF3B2;DDX5;CSTF2;SRRT;SRSF1;U2AF1;ESS2;DHX32;POLR2A;FIP1L1;PUF60;U2AF2;DHX35;POLR2C;PCBP2;CSTF1;POLR2E;HNRNPA1;SF3B1;SRSF10;SRSF11;CPSF4;HSPA8;SF3A1;CPSF7;SF3A2;CPSF1;FUS;CPSF3;NONO;UPF3B;CWC15;CHERP;HNRNPL;HNRNPM;HNRNPK;HNRNPF;HNRNPA2B1;HNRNPD;RNPS1;PRPF31;SNRNP48;HNRNPC;RBMX"
"5","proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)","99/291",6.70028520356053e-13,5.94851320372104e-10,0,0,2.58646691849817,72.5024339206845,"UBXN2A;AUP1;PSMD6;PSMD7;CDC23;MAEA;PSMD4;KAT5;CDC26;PSMD2;PSMD3;RNF111;RNF44;FBXW5;ANAPC7;FBXW7;KCTD5;KLHL42;RNF126;CDC34;SELENOS;PSME3;KCTD13;ANAPC4;ANAPC5;RBCK1;KCTD17;CLOCK;ANAPC2;VCP;PSMD12;ANAPC15;PSMD11;PSMD14;PSMD13;CUL1;UBR2;HSP90B1;BAG6;SHARPIN;PCBP2;ANKZF1;UBE2B;HSPA5;SMURF1;ERLIN2;BTBD6;BTBD9;FBXO31;ABTB1;NSFL1C;RNF103;CDC16;RNF181;RNF187;NFE2L2;GSK3A;ARRB2;TRIM9;UCHL1;PSMA5;PSMA6;PSMA3;PSMA1;MAN1B1;RNF34;DERL1;DERL2;RNF4;PSMA7;PSMB10;USP19;PSMB6;PCNP;FBXL20;RMND5B;FOXRED2;ZNRF1;PSMB4;FZR1;OS9;PSMB3;TMEM67;HECTD4;SPOP;UBQLN1;BUB3;DCAF11;CRBN;RNF24;FBXL19;SGTA;SYVN1;SPSB3;KBTBD4;PSMC3;PSMC4;PSMC2;MAD2L1"
"6","proteasomal protein catabolic process (GO:0010498)","85/237",1.1322632212683e-12,8.37686073201664e-10,0,0,2.79996200607903,77.0180022882705,"GSK3A;UBXN2A;ARRB2;PRPF19;TRIM9;PSMD6;UCHL1;PSMD7;CDC23;MAEA;PSMD4;KAT5;CDC26;PSMD2;PSMD3;RNF111;UBXN6;RNF44;FBXW5;ANAPC7;KCTD5;RNF41;KLHL42;PSMA5;PSMA6;RNF126;PSMA3;CDC34;PSMA1;PSME3;KCTD13;ANAPC4;ANAPC5;RBCK1;KCTD17;CLOCK;ANAPC2;BRSK2;VCP;PSMD12;ANAPC15;PSMD11;RNF34;PSMD14;PSMD13;DERL1;CUL1;RNF4;FBXO44;PSMA7;PSMB10;PSMB6;PCNP;BAG6;RMND5B;ZNRF1;PSMB4;SHARPIN;PSMB3;HECTD4;PCBP2;SPOP;BUB3;DCAF11;CRBN;UBE2B;RNF24;SMURF1;FBXL19;SYVN1;NR1D1;BTBD6;BTBD9;SPSB3;ABTB1;KBTBD4;NSFL1C;PSMC3;PSMC4;CDC16;PSMC2;RNF181;MAD2L1;RNF187;NFE2L2"
"7","ncRNA processing (GO:0034470)","81/227",5.18297001727997e-12,3.28674341524369e-09,0,0,2.77548843476308,72.1228512321362,"INTS11;RPL5;RPL30;RPL3;RPL32;RPL34;POP4;WDR3;RRP1;INTS10;RPLP0;ADAR;RPL10A;RPL6;RPL7;RRP9;THG1L;RPS4X;RPL7A;RPL18A;NOB1;RPS18;RPL36;RPLP2;RPL38;UTP14A;RPS9;RPS8;RPL23;TEX10;DDX56;SARS;IMP4;CSNK1D;CSNK1E;EBNA1BP2;DKC1;RPP21;RPL26;RPL10;RPL12;RPL11;SRRT;ISG20L2;NOC4L;NOL9;NOL6;EXOSC5;EMG1;EXOSC10;EXOSC4;PES1;BMS1;EXOSC8;RPL14;RPL13;DROSHA;RPS2;RPL18;EXOSC1;RPL19;SMAD2;NOP56;SSB;INTS1;RIOK3;RPP40;WDR12;TARBP2;RPS25;BOP1;LAS1L;AGO4;RPL27A;HNRNPA2B1;TSR1;INTS7;RPS21;RPS24;AARS;MPHOSPH6"
"8","nuclear-transcribed mRNA catabolic process (GO:0000956)","67/174",7.06209500852498e-12,3.9185799678553e-09,0,0,3.12667676208342,80.2814260273885,"EIF4A2;RPL5;EIF4A1;RPL30;RPL3;RPL32;RPL34;RPLP0;SMG9;CASC3;RPL10A;RPL6;SMG5;RPL7;RPS4X;RPL7A;RPL18A;RPS18;RPL36;RPLP2;RPL38;UPF1;RPS9;RPS8;RPL23;PATL1;THRAP3;DXO;ETF1;RPL26;PABPC1;DDX5;RPL10;RPL12;RPL11;PARN;GSPT2;EXOSC5;EXOSC10;EXOSC4;DHX34;EXOSC8;RPL14;RPL13;RPS2;RPL18;RPL19;PYM1;UPF3B;SAMD4B;UPF3A;CNOT10;PNRC2;PAN2;RPS25;CNOT6;CNOT7;PAN3;CNOT2;RPL27A;CNOT3;RNPS1;CNOT8;DCP1A;RPS21;RPS24;DCP1B"
"9","ubiquitin-dependent protein catabolic process (GO:0006511)","107/341",2.41951642249465e-11,1.19335926660597e-08,0,0,2.2934608061597,56.0633474223447,"UBXN2A;UBE3B;UBE2L3;PSMD6;NUB1;PSMD7;CDC23;MAEA;PSMD4;KAT5;CDC26;PSMD2;PSMD3;RNF111;RNF44;FBXW5;AREL1;ANAPC7;ARRDC1;TRPC4AP;KCTD5;RNF40;KLHL42;TOM1L1;RNF126;CDC34;PSME3;KCTD13;ANAPC4;ANAPC5;RBCK1;KCTD17;CLOCK;VPS28;ANAPC2;VCP;PSMD12;ANAPC15;PSMD11;PSMD14;PSMD13;CUL1;BAG6;SHARPIN;PCBP2;XBP1;UBE2I;UBE2B;SMURF1;BTBD6;KLHL24;NTAN1;BTBD9;ABTB1;NSFL1C;COPS3;CDC16;RNF181;UBA1;RNF187;NFE2L2;GSK3A;RNF14;USP33;PTPN23;ARRB2;TRIM9;UCHL1;UFD1;VPS37A;PSMA5;PSMA6;PSMA3;PSMA1;RNF34;VPS4A;RNF8;RNF4;PSMA7;PSMB10;PSMB6;PCNP;RMND5B;ZNRF1;PSMB4;OS9;PSMB3;HECTD4;SPOP;BUB3;DCAF11;RANBP1;RANBP3;CRBN;RNF24;FBXL19;ADRM1;SYVN1;CHFR;RNF146;SPSB3;KBTBD4;PINK1;PSMC3;PSMC4;PSMC2;MAD2L1"
"10","rRNA processing (GO:0006364)","72/202",8.21352227466638e-11,3.64598253772441e-08,0,0,2.76587717459652,64.2310090995337,"RPL5;RPL30;RPL3;RPL32;RPL34;POP4;WDR3;RRP1;RPLP0;NAT10;RPL10A;RPL6;RPL7;RRP9;RPS4X;SART1;RPL7A;RPL18A;NOB1;RPS18;RPL36;RPLP2;RPL38;UTP14A;RRP15;RPS9;WDR37;RPS8;RPL23;TEX10;DDX56;IMP4;CSNK1D;CSNK1E;EBNA1BP2;DKC1;RPP21;RPL26;RPL10;RPL12;RPL11;TSR3;NOP2;ISG20L2;NOC4L;NOL9;NOL6;EXOSC5;EMG1;EXOSC10;EXOSC4;PES1;BMS1;EXOSC8;RPL14;RPL13;RPS2;RPL18;EXOSC1;RPL19;NOP56;RIOK3;RPP40;WDR12;RPS25;BOP1;LAS1L;RPL27A;TSR1;RPS21;RPS24;MPHOSPH6"
