"","GO_Biological_Process_2018.Term","GO_Biological_Process_2018.Overlap","GO_Biological_Process_2018.P.value","GO_Biological_Process_2018.Adjusted.P.value","GO_Biological_Process_2018.Old.P.value","GO_Biological_Process_2018.Old.Adjusted.P.value","GO_Biological_Process_2018.Odds.Ratio","GO_Biological_Process_2018.Combined.Score","GO_Biological_Process_2018.Genes"
"1","mRNA splicing, via spliceosome (GO:0000398)","83/261",7.89441669139259e-16,3.2777618102662e-12,0,0,3.24057071230434,112.691513190749,"DDX42;PPWD1;CASC3;DDX41;YBX1;USP39;EFTUD2;PTBP1;SART3;RAVER1;SNRNP70;DHX15;RBM5;DDX17;PRMT5;RBM17;METTL3;PRPF40B;PLRG1;SRRM1;DDX39A;PRPF6;HNRNPUL1;HNRNPH1;GEMIN4;SRSF2;CD2BP2;STRAP;SRSF3;PPIE;PABPC1;HNRNPH3;SRSF5;SNRNP25;DNAJC8;SNRNP200;SLU7;SRSF7;SF1;SRSF9;RBM22;SF3B2;DDX5;RBM8A;DDX1;SRSF1;DDX20;RNPC3;PABPN1;POLR2A;FIP1L1;PUF60;PCBP2;DHX38;POLR2F;POLR2I;HNRNPA1;SF3B1;SRSF10;POLR2J;SRSF11;SRPK2;SF3A3;SRPK3;ZRSR2;CPSF4;HSPA8;CPSF7;HNRNPA3;SF3A2;CPSF1;FUS;NONO;CWC15;CHERP;HNRNPM;XAB2;HNRNPA2B1;HNRNPD;RNPS1;PRPF31;HNRNPC;RBMX"
"2","mRNA processing (GO:0006397)","86/283",4.808958272905e-15,8.13737428498858e-12,0,0,3.03418617979368,100.03194782004,"CELF1;AKAP8L;DDX42;PPWD1;CASC3;DDX41;YBX1;USP39;EFTUD2;PTBP1;SART3;RAVER1;SNRNP70;DHX15;CMTR1;RBM5;RBM17;METTL3;PRPF40B;THOC2;PLRG1;SRRM1;THOC6;DDX39A;PRPF6;HNRNPUL1;HNRNPH1;SRSF2;CD2BP2;SRSF3;PPIE;PABPC1;HNRNPH3;SRSF5;SNRNP25;DNAJC8;AURKAIP1;SNRNP200;SLU7;SRSF7;SF1;SRSF9;RBM22;SF3B2;DDX5;RBM8A;SRSF1;RNPC3;TBRG4;PABPN1;POLR2A;FIP1L1;PUF60;PCBP2;DHX38;POLR2F;POLR2I;HNRNPA1;SF3B1;SRSF10;POLR2J;SRSF11;SF3A3;ZRSR2;CPSF4;HSPA8;CPSF7;CHTOP;HNRNPA3;SF3A2;CPSF6;CPSF1;FUS;NONO;CWC15;CHERP;HNRNPM;XAB2;SON;ERCC3;HNRNPA2B1;HNRNPD;RNPS1;PRPF31;HNRNPC;RBMX"
"3","gene expression (GO:0010467)","111/411",5.87960569724608e-15,8.13737428498858e-12,0,0,2.58231364562118,84.6154115587101,"RPL4;RPL5;ISCA2;RPL3;CASC3;RPL9;RPL7;RPS14;RPS11;MEF2A;DDX17;RPL23;RPL22;RPS6;SARS;THOC2;ILF2;THOC6;SRRM1;EEF1A1;DDX39A;HNRNPUL1;EEF1A2;SRSF2;RPL24;SRSF3;RPL26;SRSF5;SRSF7;SRSF9;RBM8A;BAZ2B;AAAS;NUP160;DHX30;DHX34;DHX38;CPSF4;RPL41;CHTOP;CPSF1;MRPL27;HARS2;HNRNPD;MPHOSPH10;MMS19;RNPS1;FARSB;RPS23;CREBZF;HBS1L;SMG1;CALCOCO1;MRPS15;RPLP1;CELF2;RPLP0;AKR1B1;MRPL37;MRPL32;SMG5;MRPL4;RBM3;RPL7A;RBM4;NUP62;DHX15;MRPL9;RBM5;PABPC4;DHPS;MRPS2;RPS3A;MRPS7;MRPS5;HNRNPH1;NUP54;HNRNPH3;PTMA;MRRF;SLU7;SMARCD3;RPL10;GTF3C5;SRSF1;DDX20;LMF2;MRPL55;HSPD1;POLR2A;FIP1L1;PABPN1;E2F1;RPL13;POLR2F;HARS;RPS2;RPL18;POLR2I;RPL17;SRSF10;POLR2J;SRSF11;RANBP2;RBM39;SORL1;XAB2;RSL1D1;HNRNPA2B1;RPS6KB2;STUB1"
"4","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)","75/236",2.02095618378346e-14,2.09775251876723e-11,0,0,3.23020014910822,101.856675583627,"DDX42;PPWD1;CASC3;DDX41;YBX1;USP39;EFTUD2;PTBP1;SART3;RAVER1;SNRNP70;DHX15;RBM5;RBM17;METTL3;PRPF40B;PLRG1;SRRM1;DDX39A;PRPF6;HNRNPUL1;HNRNPH1;SRSF2;CD2BP2;SRSF3;PPIE;PABPC1;HNRNPH3;SRSF5;SNRNP25;DNAJC8;SNRNP200;SLU7;SRSF7;SF1;SRSF9;RBM22;SF3B2;DDX5;RBM8A;SRSF1;RNPC3;PABPN1;POLR2A;FIP1L1;PUF60;PCBP2;DHX38;POLR2F;POLR2I;HNRNPA1;SF3B1;SRSF10;POLR2J;SRSF11;SF3A3;ZRSR2;CPSF4;HSPA8;CPSF7;HNRNPA3;SF3A2;CPSF1;FUS;NONO;CWC15;CHERP;HNRNPM;XAB2;HNRNPA2B1;HNRNPD;RNPS1;PRPF31;HNRNPC;RBMX"
"5","RNA processing (GO:0006396)","62/193",2.1373647884684e-12,1.77486772034416e-09,0,0,3.27044972319099,87.8817178842658,"MAPKBP1;CELF1;DDX47;CELF2;CELF3;AKAP8L;TSEN2;USP39;DCAF4;TSEN54;CCAR2;EFTUD2;RBM3;PTBP1;RBM4;PPP2R1A;SNRNP70;KHSRP;DHX15;RBM5;DDX17;PABPC4;METTL3;SRRM1;PRPF6;HNRNPUL1;HNRNPH1;SRSF2;LUC7L3;HNRNPH3;PPIG;SRSF5;SNRNP25;AURKAIP1;SLU7;SRSF7;SRSF9;TSEN34;SF3B2;SRSF1;DDX20;RNPC3;DHX30;PABPN1;DHX34;DHX38;SRSF11;SRPK2;SF3A3;IVNS1ABP;ZRSR2;RBM39;SF3A2;CPSF6;NONO;MTERF4;SON;HNRNPA2B1;HNRNPD;MPHOSPH10;RNPS1;HNRNPC"
"6","translation (GO:0006412)","65/232",4.77921877797866e-10,3.30721939436123e-07,0,0,2.68720056887425,57.6715534112637,"RPL4;CARS;RPL5;HBS1L;MRPS15;RPL3;VARS;RPLP1;RPLP0;MRPL37;RPL9;MRPL32;RPL7;EFTUD2;EEF1B2;NARS;MRPL4;RPS14;RPL7A;MRPL9;RPS11;RPL23;PABPC4;RPL22;RPS6;DHPS;MRPS2;SARS;RPS3A;GTPBP2;MRPS7;FTSJ1;MRPS5;TUFM;EEF1A1;EEF1D;RPL7L1;EEF1A2;RPL24;RPL26;MRRF;RPL10;MRPL55;LARS;RPL13;HARS;RPS2;RPL18;RPL17;ZC3H15;YARS;PTCD3;RPL41;MTERF4;MRPL27;HARS2;RSL1D1;QARS;MARS;RPS6KB2;IARS;FARSA;FARSB;RPS23;AARS"
"7","ribosome biogenesis (GO:0042254)","63/226",1.09901938149858e-09,6.51875495997444e-07,0,0,2.66691749042254,55.0154342746262,"LTV1;RPL4;RPL5;RPL3;NVL;DDX47;RPLP1;RPP30;RRP1;RPLP0;RPL9;RPL7;RPS14;RPL7A;XPO1;NOB1;RPS11;PELP1;RRP7BP;DIS3;PIH1D1;RPL23;RPL22;RPS6;DDX56;WDR74;GTF3A;IMP4;RPS3A;CSNK1E;GNL2;GNL3;EBNA1BP2;SBDS;RPL24;RPL26;DDX27;RPL10;RRP7A;EXOSC10;EXOSC9;EXOSC8;RPL13;RPS2;ZNF622;RPL18;RPL17;AAMP;NOP56;RPL41;NPM1;UTP6;KRR1;WDR18;MTERF4;WDR55;BOP1;TBL3;LAS1L;MPHOSPH10;NOL11;RAN;RPS23"
"8","ncRNA processing (GO:0034470)","63/227",1.33332105542792e-09,6.91993627767089e-07,0,0,2.65050232404042,54.1645866679907,"LTV1;RPL4;INTS11;RPL5;INTS12;RPL3;DDX47;RPLP1;RPP30;RRP1;RPLP0;ADAR;RPL9;RPL7;RPS14;RPL7A;NOB1;DGCR8;RPS11;PELP1;RRP7BP;DIS3;PIH1D1;RPL23;RPL22;METTL3;RPS6;DDX56;SARS;IMP4;RPS3A;CSNK1E;EBNA1BP2;SBDS;RPL24;RPL26;DDX27;RPL10;RRP7A;EXOSC10;EXOSC9;EXOSC8;RPL13;RPS2;RPL18;RPL17;NOP56;RPL41;UTP6;SSB;KRR1;WDR18;ADAT1;WDR55;BOP1;TBL3;LAS1L;HNRNPA2B1;MPHOSPH10;INTS6;NOL11;RPS23;AARS"
"9","RNA splicing (GO:0008380)","36/106",1.67286619720258e-08,7.25888443595802e-06,0,0,3.52966685488425,63.2027169854186,"MAPKBP1;SF3B2;DDX47;CELF3;RNPC3;USP39;DCAF4;CCAR2;EFTUD2;PTBP1;PPP2R1A;SNRNP70;KHSRP;DHX15;SF3B1;SRSF10;SRSF11;IVNS1ABP;SRPK2;SF3A3;ZRSR2;SF3A2;NONO;MTERF4;SRRM1;PRPF6;SRSF2;MPHOSPH10;LUC7L3;RNPS1;PPIG;SNRNP25;HNRNPC;HNRNPH3;SRSF7;SLU7"
"10","viral process (GO:0016032)","59/220",1.74828623216715e-08,7.25888443595802e-06,0,0,2.52487321214884,45.0993982573871,"RPL4;RPL5;LRSAM1;RPL3;CALCOCO2;RPLP1;RPLP0;RPL9;RPL7;RPS14;PTBP1;RPL7A;XPO1;NUP62;RPS11;B2M;AP2M1;PDCD6IP;IST1;RPL23;RPL22;RPS6;RPS3A;VPS37B;HCFC2;TBC1D20;RPL24;NUP54;RPL26;CHMP7;VPS28;CHMP5;VCP;RPL10;RAB1B;VPS4A;AAAS;NUP160;PCBP2;UBC;RPL13;FYN;APOE;RPS2;RPL18;RPL17;AP1M1;RANBP2;RANBP1;RPL41;SSB;VTA1;DEK;PI4KA;EIF3G;CD247;RAN;RPS23;EIF3B"
