"","Human_Gene_Atlas.Term","Human_Gene_Atlas.Overlap","Human_Gene_Atlas.P.value","Human_Gene_Atlas.Adjusted.P.value","Human_Gene_Atlas.Old.P.value","Human_Gene_Atlas.Old.Adjusted.P.value","Human_Gene_Atlas.Odds.Ratio","Human_Gene_Atlas.Combined.Score","Human_Gene_Atlas.Genes"
"1","PrefrontalCortex","63/521",1.32974190023203e-25,9.17521911160104e-24,0,0,5.99385448622506,343.325841936782,"YWHAE;RAB3A;GDI1;COX4I1;CELF2;LDB2;ACTR1A;PALM;NPTN;SH3GL2;TSPYL2;MAP1S;LMO3;ENTPD6;ATP1B1;DGKZ;RUNDC3A;SYN1;DNM1;SEPT2;DKK3;MAPK8IP1;CLIP3;OLFM2;GAP43;PRKAR1B;KIFC2;MAP7D1;EEF1A2;FKBP8;SPARCL1;ARHGEF4;MAPRE3;IGSF8;WBP2;DCTN1;STXBP1;CEND1;SLC1A3;THY1;AK5;CABP1;DTX3;NDRG2;PHYHIP;SNN;SYNGR1;KLC2;DEAF1;NCDN;WASF1;PAK3;GPM6B;CA11;KLHDC3;CBX6;SYT1;NAP1L3;BLCAP;MT3;GRIN1;CALM3;TCF4"
"2","Amygdala","43/345",3.14053828741425e-18,1.08348570915792e-16,0,0,5.98137870071152,241.062346593713,"BEX4;GPM6A;IGSF8;RTN1;THRA;TTYH1;AK5;KLC1;RTN4;PCMT1;SNN;YWHAQ;CAMK2N1;PALM;CLPTM1;NPTN;NEFL;WASF1;SLC25A22;CACNG3;GPM6B;YWHAH;PRNP;MOAP1;SYT1;LMO3;NAP1L3;FBXL16;SYNGR3;SYN1;MAPK8IP1;DKK3;GRIN1;TMEFF1;KIFC2;FSCN1;CHST1;ARHGEF4;CPE;MAPRE3;ATP6V0C;TSPYL4;CDK5R1"
"3","Wholebrain","27/240",7.41315652507307e-11,1.70502600076681e-09,0,0,5.16877586874311,120.562625928896,"THY1;AK5;CABP1;COX6A1;CYP46A1;NDRG2;SNN;CAMK2N1;SULT4A1;CACNG3;CA11;ACOT7;WSB2;ENTPD6;TBR1;TUBG2;DYNLL1;RUNDC3A;MT3;OLFM1;C1ORF216;PRKAR1B;ARHGEF4;MAPRE3;STX1A;CDK5R2;RNF220"
"4","Fetalbrain","25/325",7.39083092887832e-07,1.27491833523151e-05,0,0,3.36842105263158,47.5548816258943,"RTN1;SMARCD3;FAM57B;STMN2;CRMP1;TRO;NEUROD2;CAMKV;TUBB3;DYNC1I1;AASDHPPT;WSB2;LMO3;PJA1;MLLT11;DNAJA1;NELL2;TMEFF1;TUBB2B;GAP43;MPPED1;FXYD6;TCF4;INA;CDK5R1"
"5","Spinalcord","13/105",2.19086120025469e-06,3.02338845635147e-05,0,0,5.63128292116775,73.3824632542691,"PAQR6;MARCKSL1;XRCC5;FBXO2;PLEKHB1;GFAP;MAG;TF;FEZ1;PEA15;BAALC;ARL8A;GPM6B"
"6","Caudatenucleus","8/69",0.000316635140909981,0.00364130412046478,0,0,5.18166066906571,41.7525802595086,"THRA;CAMKV;PPP1R1B;NCDN;CYP46A1;CPLX2;CPLX1;RAP1GAP"
"7","pineal day","28/694",0.00917533714320217,0.0904426089829928,0,0,1.67758436402504,7.86994439618423,"NDRG3;ARL6IP1;PODXL2;ATP1A3;CABP1;ENO2;SLC17A7;MAP4;ATP6V0E2;P4HTM;ATP6V0A1;GRIPAP1;SYT4;RHBDD2;APLP2;SYP;ATP1B2;RUNDC3A;OLFM2;TF;NECAP1;BIN1;PPP2R2B;GIPC1;REEP2;TERF2IP;SERPINI1;GRINA"
"8","CerebellumPeduncles","8/137",0.021940705845488,0.189238587917334,0,0,2.44167139345812,9.32574817303401,"YWHAE;CAMK2B;NEUROD2;SNAP25;CCNI;HPCAL1;NDRG2;SLC25A23"
"9","Lymphoma burkitts(Raji)","15/355",0.0342832255868929,0.240236838155126,0,0,1.74287446937538,5.87888829426634,"TRAP1;MARCKSL1;HMGA1;MIF;EEF2;NAP1L4;PFKL;RPS18;DEAF1;DDIT4;RPS2;TKT;CCT7;NDUFV1;AARS"
"10","Hypothalamus","6/97",0.0348169330659604,0.240236838155126,0,0,2.59051474840949,8.69804554474264,"KIAA0930;PAQR6;UCHL1;MRFAP1;SEPT4;SYNGR3"
"11","SmoothMuscle","15/363",0.0403823413712362,0.253307414055936,0,0,1.70209740490579,5.46264789641691,"ARF4;NPM1;TPM4;PLK2;APLP2;TMEM132A;PDIA6;SEPT2;HSP90B1;FKBP1A;LDHA;GUK1;NFIB;TMSB10;CD200"
"12","Pituitary","5/84",0.0593420089467207,0.341216551443644,0,0,2.48318629331288,7.01360525571887,"PCSK1N;NNAT;GNAS;PLD3;CHGB"
"13","pineal night","23/674",0.0826196854015615,0.438519868669826,0,0,1.39610082215073,3.48118759826537,"NAPA;GRIPAP1;SYT4;GABARAPL1;NDRG3;PODXL2;APLP2;SYP;ATP1B2;ENO2;NECAP1;GIPC1;CHST1;TERF2IP;SLC17A7;HNRNPH2;MAPRE3;MAP4;ATP6V0E2;P4HTM;DYNC1I1;ZSCAN18;ATP6V0A1"
"14","Prostate","9/249",0.173083778459621,0.853055765265274,0,0,1.47097759674134,2.58006459840915,"NPDC1;PYGB;CAPZB;NFIB;IDH1;MAGED2;MIF;NBL1;HERPUD1"
"15","CingulateCortex","2/33",0.199330521987762,0.916920401143705,0,0,2.52221790387356,4.06781012742253,"MEG3;PAK3"
"16","OccipitalLobe","2/35",0.217731313500066,0.938966289469036,0,0,2.36911281489595,3.61169704735681,"PRNP;SYT1"
"17","Thyroid","12/388",0.266392734588209,0.999988886386818,0,0,1.2506975933031,1.6544022815583,"MTCH1;DPP7;GPX3;FHL1;ATP6AP2;NUCB1;PEBP1;ATP1A1;PDIA6;RAP1GAP;HSP90B1;RAB11B"
"18","SubthalamicNucleus","3/77",0.302705735419736,0.999988886386818,0,0,1.58458861275763,1.89357406788583,"PSD;TPI1;SLC25A23"
"19","Thalamus","3/79",0.316427998210308,0.999988886386818,0,0,1.54273006459812,1.77515709283193,"ACTR1A;RAB3A;ACOT7"
"20","CD71+ EarlyErythroid","15/553",0.410469023945149,0.999988886386818,0,0,1.09006246886138,0.970651371068801,"NAPA;BNIP3L;CMAS;AKAP8L;PPP2R5B;RAD23A;HK1;PRDX2;ACTR1A;H1F0;GUK1;PPME1;BSG;MKRN1;SNCA"
"21","Heart","11/415",0.464814206488376,0.999988886386818,0,0,1.06327319848549,0.8145922143989,"PRDX2;GOT1;EXOC7;PPP2R1A;COX4I1;UQCRC1;CRIP2;ACO2;ALDOA;COX5B;SEPT4"
"22","Lung","8/299",0.473078140917831,0.999988886386818,0,0,1.0733383622496,0.803388076897979,"RASD1;H2AFY;TSC22D3;ZBTB16;DDIT4;HPCAL1;CTSD;LY6E"
"23","Pons","1/27",0.495420506796577,0.999988886386818,0,0,1.50100200400802,1.05422630842278,"GRIN1"
"24","Cerebellum","3/108",0.508999291211966,0.999988886386818,0,0,1.11497556769187,0.752952650912811,"ALDOC;NDRG2;ATP6V0A1"
